label, method, accuracy, time(microseconds)
s>50, none/dnn_3, 1.0, 90661
s>50, none/dnn_4, 1.0, 85985
s>50, none/dnn_5, 1.0, 90661
s>50, none/rf_50, 1.0, 31970
s>50, none/rf_100, 1.0, 61192
s>50, none/rf_150, 1.0, 88288
s>50, none/rf_200, 1.0, 107779
s>50, none/rf_250, 1.0, 126778
s>50, none/rf_300, 1.0, 171128
s>50, pca/dnn_1, 1.0, 7846
s>50, pca/dnn_2, 1.0, 6069
s>50, pca/dnn_3, 1.0, 6371
s>50, pca/dnn_4, 1.0, 8827
s>50, pca/dnn_5, 1.0, 6862
s>50, pca/rf_50, 1.0, 27168
s>50, pca/rf_100, 1.0, 50250
s>50, pca/rf_150, 1.0, 77164
s>50, pca/rf_200, 1.0, 108123
s>50, pca/rf_250, 1.0, 126067
s>50, pca/rf_300, 1.0, 141407

s>60, none/dnn_1, 0.9102564102564102, 125972
s>60, none/dnn_2, 0.9102564102564102, 131123
s>60, none/dnn_3, 0.9102564102564102, 121510
s>60, none/dnn_4, 0.9102564102564102, 113941
s>60, none/dnn_5, 0.9102564102564102, 119504
s>60, none/rf_50, 0.9807692307692307, 215513
s>60, none/rf_100, 0.9807692307692307, 465611
s>60, none/rf_150, 0.9807692307692307, 656191
s>60, none/rf_200, 0.9807692307692307, 872395
s>60, none/rf_250, 0.9807692307692307, 81959
s>60, none/rf_300, 0.9807692307692307, 359975
s>60, pca/dnn_1, 0.6794871794871795, 7858
s>60, pca/dnn_2, 0.6794871794871795, 5536
s>60, pca/dnn_3, 0.6794871794871795, 5801
s>60, pca/dnn_4, 0.6794871794871795, 6002
s>60, pca/dnn_5, 0.6794871794871795, 5624
s>60, pca/rf_50, 0.9807692307692307, 132047
s>60, pca/rf_100, 0.9807692307692307, 263624
s>60, pca/rf_150, 0.9807692307692307, 358751
s>60, pca/rf_200, 0.9807692307692307, 502226
s>60, pca/rf_250, 0.9807692307692307, 641527
s>60, pca/rf_300, 0.9807692307692307, 810846

s<65, none/dnn_1, 1.0, 85087
s<65, none/dnn_2, 0.0, 131361
s<65, none/dnn_3, 0.0, 119261
s<65, none/dnn_4, 0.0, 121270
s<65, none/dnn_5, 0.0, 117326
s<65, none/rf_50, 1.0, 208331
s<65, none/rf_100, 1.0, 455732
s<65, none/rf_150, 1.0, 639489
s<65, none/rf_200, 1.0, 911673
s<65, none/rf_250, 1.0, 95207
s<65, none/rf_300, 1.0, 278735
s<65, pca/dnn_1, 0.47435897435897434, 7801
s<65, pca/dnn_2, 0.47435897435897434, 6376
s<65, pca/dnn_3, 0.47435897435897434, 6395
